JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Civil Engineer,Engineering and Science,£25000,Liverpool,"['Product Development', 'Mechanical Design', 'Lab Techniques']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Research Scientist,Engineering and Science,£22000,Leeds,"['Project Management Software', 'Regulatory Compliance', 'Engineering Design']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Event Coordinator,Marketing and Creative,£30000,Nottingham,"['SEO Optimisation', 'PPC Advertising', 'Campaign Management']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Data Scientist,Technology and Data,£27000,Sheffield,"['Data Visualisation', 'JavaScript', 'Python Programming']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Logistics Coordinator,Administrative,£25000,Sheffield,"['Payroll Management', 'Leadership', 'Recruitment']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Teacher,Administrative,£29000,Newcastle,"['Compliance Management', 'Employee Relations', 'Client Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Business Development Executive,Finance and Business,£27000,London,"['Business Strategy', 'Financial Modeling', 'Budgeting']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Software Developer,Technology and Data,£26000,Manchester,"['APIs', 'Machine Learning', 'Version Control']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Legal Assistant,Administrative,£23000,Newcastle,"['Client Management', 'Performance Appraisal Systems', 'Payroll Management']",Provide administrative support to legal teams and assist with legal research and document preparation
Technical Support Engineer,Technology and Data,£24000,Birmingham,"['SQL', 'Version Control', 'JavaScript']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Public Relations Officer,Marketing and Creative,£33000,Manchester,"['Email Marketing', 'PPC Advertising', 'Graphic Design']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Software Developer,Technology and Data,£33000,Liverpool,"['Big Data Technologies', 'SQL', 'Python Programming']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
UI Designer,Technology and Data,£27000,Bristol,"['SQL', 'Big Data Technologies', 'Version Control']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Nurse,Administrative,£28000,Newcastle,"['Employee Relations', 'HR Information Systems', 'Onboarding']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
UI Designer,Technology and Data,£35000,Bristol,"['JavaScript', 'Django', 'Docker']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Data Analyst,Technology and Data,£22000,Leeds,"['SQL', 'JavaScript', 'Machine Learning']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Risk Analyst,Finance and Business,£34000,Nottingham,"['Regulatory Compliance', 'Financial Modeling', 'Financial Analysis']",You must be able to identify and assess potential risks to the organisation.
Audit Associate,Finance and Business,£24000,Newcastle,"['Financial Analysis', 'Analytical Skills', 'Quantitative Analysis']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Data Analyst,Technology and Data,£23000,Cambridge,"['JavaScript', 'Version Control', 'Data Visualisation']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Mechanical Engineer,Engineering and Science,£22000,Liverpool,"['Simulation Software', 'Mechanical Design', 'Statistical Analysis']","Design machinery and equipment, and troubleshoot engineering issues."
Data Scientist,Technology and Data,£23000,Birmingham,"['Version Control', 'Machine Learning', 'Problem Solving']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Event Coordinator,Marketing and Creative,£21000,Liverpool,"['Google Analytics', 'Brand Strategy', 'Content Management Systems']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Event Coordinator,Marketing and Creative,£25000,Birmingham,"['Brand Strategy', 'Graphic Design', 'Campaign Management']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Social Media Manager,Marketing and Creative,£23000,Birmingham,"['PPC Advertising', 'Content Management Systems', 'Graphic Design']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Technical Support Engineer,Technology and Data,£28000,Cambridge,"['Problem Solving', 'Cloud Computing', 'Data Visualisation']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
UI Designer,Technology and Data,£32000,Birmingham,"['Data Warehousing', 'Python Programming', 'SQL']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
